,	, ,
suntuk	RB suntuk
sunukung	NN sunukung
supa	NN supa
supaya	DT supaya
supaya jangan	DT supaya jangan
supercepat	JJ supercepat
super-	DT super-
superfosfat	NN superfosfat
superioritas	NN superioritas
superkomputer	NN superkomputer
supermarket	NN supermarket
superstar	NN superstar
supervisi	NN supervisi
supir	NN supir
suplai	NN suplai
suplementasi	NN suplementasi
suplesi	NN suplesi
supletoar	NN supletoar
sup	NN sup
suportif	JJ suportif
supremasi	NN supremasi
surah	NN surah
surai	NN surai
suram-suram gelap	JJ suram-suram gelap
suram-suram	JJ suram-suram
sura	NN sura
surati	JJ surati
suraya	DT suraya
surban	NN surban
surealis	NN surealis
suren	DT suren
surgaloka	NN surgaloka
Surgaloka	NN Surgaloka
surgawi	JJ surgawi
surian	NN surian
surih	NN surih
surili	NN surili
surplus	NN surplus
suruh dan tegah	NN suruh dan tegah
suruh	NN suruh
suruh-suruhan	NN suruh-suruhan
surukan	NN surukan
surup	JJ surup
survei	NN survei
survei udara	NN survei udara
suryakanta	NN suryakanta
suseptibilitas	NN suseptibilitas
susila	JJ susila
sus	NN sus
susteran	NN susteran
suster	NN suster
susuan	NN susuan
susu asam	NN susu asam
susu awet	NN susu awet
susu bubuk	NN susu bubuk
susuh	NN susuh
susu kaleng	NN susu kaleng
susukan	NN susukan
susu kental	NN susu kental
susu lanjutan	NN susu lanjutan
susul-menyusul	VB susul-menyusul
susul	VB susul
susu macan	NN susu macan
susu mandi	NN susu mandi
susu murni	NN susu murni
susu	NN susu
susu pembersih	NN susu pembersih
susu perada	NN susu perada
susu puan	NN susu puan
susuran	NN susuran
susur daratan	NN susur daratan
susur galur	NN susur galur
susur hutan	NN susur hutan
susur	NN susur
susur pantai	NN susur pantai
susur tangan	NN susur tangan
susur tangga	NN susur tangga
susu segar	NN susu segar
susu sisa	NN susu sisa
susu skim	NN susu skim
susu steril	NN susu steril
susu tepung	NN susu tepung
susu tepung tanpa lemak	NN susu tepung tanpa lemak
susu yg dipasteurisasi	NN susu yg dipasteurisasi
sutan	NN sutan
suten	VB suten
sutil	NN sutil
sut	NN sut
sutra kembang	NN sutra kembang
sutra	NN sutra
sutra tiruan	NN sutra tiruan
suvenir	NN suvenir
suwir-suwir	JJ suwir-suwir
swadaya	NN swadaya
swa-	DT swa-
swagriya	DT swagriya
swakarsa	NN swakarsa
swakelola	NN swakelola
swanggi	DT swanggi
swasensor	NN swasensor
swasta	JJ swasta
swastanisasi	NN swastanisasi
swatantra	NN swatantra
sweter	NN sweter
swike	NN swike
syafakat	JJ syafakat
syahadat	NN syahadat
syahadat Rasul	NN syahadat Rasul
syahadat tauhid	NN syahadat tauhid
syah alam	NN syah alam
syahbandar	NN syahbandar
syahda	JJ syahda
syahdu	JJ syahdu
syahid	NN syahid
syah	NN syah
syahriah	JJ syahriah
syahwat	NN syahwat
syajarah	NN syajarah
syak	NN syak
syamali	NN syamali
syaman	NN syaman
syamsi	NN syamsi
syamsir	NN syamsir
syamsu	NN syamsu
syaraf	DT syaraf
syarahan	NN syarahan
syarah	NN syarah
syarat	NN syarat
syariah	NN syariah
syariat	NN syariat
syarikat	NN syarikat
syarik	NN syarik
syar	NN syar
syeir	NN syeir
syeti	NN syeti
syirik	NN syirik
syok	JJ syok
syuhada	NN syuhada
syukuran	NN syukuran
syukur	NN syukur
syura	NN syura
syuriah	NN syuriah
taajul	RB taajul
taaruf	NN taaruf
taasub	JJ taasub
taazur	VB taazur
tabak	NN tabak
tabaruk	NN tabaruk
tabayun	VB tabayun
tabe	DT tabe
tabiat	NN tabiat
tabir-mabir	NN tabir-mabir
tablet mandi	NN tablet mandi
tablet	NN tablet
tablig	NN tablig
tabo	NN tabo
tabrakan	NN tabrakan
tabrak lari	VB tabrak lari
tabrak-tubruk	VB tabrak-tubruk
tabrak	VB tabrak
tabulasi	NN tabulasi
tabungan asuransi berjangka	NN tabungan asuransi berjangka
tabungan masjid	NN tabungan masjid
tabungan	NN tabungan
tabungan pos	NN tabungan pos
tabungan pradana	NN tabungan pradana
tabung buritan	NN tabung buritan
tabung damak	NN tabung damak
tabung elektron	NN tabung elektron
tabung gas	NN tabung gas
tabung jangkar	NN tabung jangkar
tabung kimia	NN tabung kimia
tabung madat	NN tabung madat
tabung	NN tabung
tabung pekak	NN tabung pekak
tabung pemancar	NN tabung pemancar
tabung pemilihan	NN tabung pemilihan
tabung pengering	NN tabung pengering
tabung penguat	NN tabung penguat
tabung radio	NN tabung radio
tabung rontgen	NN tabung rontgen
tabung seruas	NN tabung seruas
tabung surat	NN tabung surat
tabung tablet	NN tabung tablet
tabung takaran	NN tabung takaran
tabur	VB tabur
tadah cangkir	NN tadah cangkir
tadah embun	NN tadah embun
tadah gelas	NN tadah gelas
tadah keringat	NN tadah keringat
tadah mangkuk	NN tadah mangkuk
tadah	NN tadah
tadaruk	NN tadaruk
tadarus	NN tadarus
tadbir	NN tadbir
tadwin	NN tadwin
taekwondo	NN taekwondo
tafadal	VB tafadal
tafsiran	NN tafsiran
tafsir harfiah	NN tafsir harfiah
tafsir mimpi	NN tafsir mimpi
tafsir	NN tafsir
tagan	NN tagan
tagih	VB tagih
tagut	NN tagut
tahana	NN tahana
tahang	NN tahang
taharah	JJ taharah
tahbis	VB tahbis
tahkik	NN tahkik
tahlilan	NN tahlilan
tahlil	NN tahlil
tahmid	NN tahmid
tah	PR tah
tahta	NN tahta
taiko	NN taiko
taipan	NN taipan
tajdid	NN tajdid
tajribah	NN tajribah
tajusalatin	NN tajusalatin
tajwid	NN tajwid
tak acuh	RB tak acuh
takaful	NN takaful
takah	JJ takah
takah-takahnya	JJ takah-takahnya
takbiran	NN takbiran
takbir	NN takbir
tak canda	NN tak canda
takdir Ilahi	NN takdir Ilahi
takdir	NN takdir
takdis	NN takdis
takhsis	NN takhsis
takhta kerajaan	NN takhta kerajaan
takhta	NN takhta
takikan	NN takikan
takik	NN takik
takik telinga	NN takik telinga
taki	VB taki
takjil	VB takjil
takjub	JJ takjub
taklik	NN taklik
taklimat	NN taklimat
taklim	NN taklim
taklukan	NN taklukan
takluk	VB takluk
tak -	RB tak -
tak	RB tak
takrif	NN takrif
takrim	NN takrim
tak segan	RB tak segan
tak segan-segan	RB tak segan-segan
taksiran	VB taksiran
taksir	NN taksir
taktik	NN taktik
taktis	JJ taktis
takur	JJ takur
takut-takutan	JJ takut-takutan
takut-takut berani	RB takut-takut berani
takut-takut	RB takut-takut
takut-takut segan	RB takut-takut segan
takwil	NN takwil
takwim	NN takwim
takwin	VB takwin
takyin	NN takyin
takzim	JJ takzim
talang	NN talang
tala	NN tala
talek	NN talek
talen	NN talen
talenta	NN talenta
tali-bertali	VB tali-bertali
talu	DT talu
talut	NN talut
tambahan berita negara	NN tambahan berita negara
tambahan lembaran negara	NN tambahan lembaran negara
tambahan	NN tambahan
tambahan pula	NN tambahan pula
tambah	NN tambah
tambak	NN tambak
tambalan	NN tambalan
tambal sulam	VB tambal sulam
tambal	VB tambal
tambangan	NN tambangan
tambar	NN tambar
tambatan hati	NN tambatan hati
tambatan	NN tambatan
tambera	NN tambera
tambi	NN tambi
tamborin	NN tamborin
tambunan budi	NN tambunan budi
tambunan	NN tambunan
tambung	JJ tambung
tambun	JJ tambun
tambur	NN tambur
tameng	NN tameng
tam	NN tam
tampaknya	RB tampaknya
tampak-tampak apung	VB tampak-tampak apung
tampak-tampak	VB tampak-tampak
tampak	VB tampak
tampalan	NN tampalan
tampan	JJ tampan
tamparan	NN tamparan
tamparan nyamuk	NN tamparan nyamuk
tampar	VB tampar
tampikan	NN tampikan
tampik	VB tampik
tampil	VB tampil
tampin	NN tampin
tampi	VB tampi
tampon	NN tampon
tampuk bantal seraga	NN tampuk bantal seraga
tampuk cerek	NN tampuk cerek
tampuk kuasa	NN tampuk kuasa
tampuk labu	NN tampuk labu
tampuk lampu listrik	NN tampuk lampu listrik
tampuk manggis	NN tampuk manggis
tampuk	NN tampuk
tampuk pemerintahan	NN tampuk pemerintahan
tampuk pimpinan	NN tampuk pimpinan
tampuk pinang	NN tampuk pinang
tampuk pistol	NN tampuk pistol
tampuk subang	NN tampuk subang
tampuk susu	NN tampuk susu
tampung	VB tampung
tamsilan	NN tamsilan
tamsil	NN tamsil
tamyiz	NN tamyiz
tanam	VB tanam
tanang	VB tanang
tanbiat	NN tanbiat
tanbihat	NN tanbihat
tancap gas	VB tancap gas
tancap	VB tancap
tandang	DT tandang
tandas	JJ tandas
tandem	NN tandem
tandik	NN tandik
tandil	NN tandil
tanding	NN tanding
tan-	DT tan-
tandukan	NN tandukan
tanduk lok	NN tanduk lok
tanduk	NN tanduk
tandur alih	VB tandur alih
tandur	VB tandur
tandus	JJ tandus
tanfiziah	NN tanfiziah
tanganan	NN tanganan
tangan panas	NN tangan panas
tangan	VB tangan
tangap	VB tangap
tangga berjalan	NN tangga berjalan
tangga karier	NN tangga karier
tangga lipat	NN tangga lipat
tangga monyet	NN tangga monyet
tangga nada	NN tangga nada
tangga	NN tangga
tangga pandu	NN tangga pandu
tangga pilin	NN tangga pilin
tangga sigai	NN tangga sigai
tangga sokong	NN tangga sokong
tangga sosial	NN tangga sosial
tanggulang	DT tanggulang
tanggungan	NN tanggungan
tanggung bulan	NN tanggung bulan
tanggung-menanggung	VB tanggung-menanggung
tanggung renteng	NN tanggung renteng
tanggung-tanggung	JJ tanggung-tanggung
tanggung	VB tanggung
tangisan	NN tangisan
tangis	NN tangis
tangkaian	NN tangkaian
tangkal	VB tangkal
tangkap	VB tangkap
tangker	NN tangker
tangki apung	NN tangki apung
tangki	NN tangki
tangkis	VB tangkis
tangki tampung	NN tangki tampung
tangki timbun	NN tangki timbun
tangki udara	NN tangki udara
tangkup	NN tangkup
tanglung	NN tanglung
tango	NN tango
tangsi	NN tangsi
tani	NN tani
tanjakan	NN tanjakan
tanjidor	NN tanjidor
tanji	NN tanji
tanjur	NN tanjur
tanker minyak bumi	NN tanker minyak bumi
tanker	NN tanker
tan	NN tan
ta	NN ta
tantang	VB tantang
tante girang	NN tante girang
tante	NN tante
tantiem	NN tantiem
tanya jawab	NN tanya jawab
tanya	NN tanya
tapaian	NN tapaian
tapak-tapak	NN tapak-tapak
tapa-tapa	NN tapa-tapa
tapi	DT tapi
tapis	NN tapis
taplak	NN taplak
tapui	NN tapui
tapuk	VB tapuk
tap	VB tap
tarasul	NN tarasul
tarawih	NN tarawih
tarbiah	NN tarbiah
tarbil	NN tarbil
tarekat	NN tarekat
target	NN target
tarian dolo	NN tarian dolo
tarian	NN tarian
tarikh	NN tarikh
tarik muka dua belas	VB tarik muka dua belas
tarik muka	VB tarik muka
tarik suara	VB tarik suara
tarik tali	VB tarik tali
tarik tambang	VB tarik tambang
tarik urat	VB tarik urat
tarik	VB tarik
taring	NN taring
taris	NN taris
tarling	NN tarling
tar	NN tar
tartar	NN tartar
taruh kata	NN taruh kata
taruh	NN taruh
taruk	NN taruk
tarum	NN tarum
taruna	NN taruna
tarung	VB tarung
tarup	NN tarup
tasamuh	NN tasamuh
tasaruf	NN tasaruf
tasawuf	NN tasawuf
tasbeh	DT tasbeh
tasbih	NN tasbih
tasrih	VB tasrih
taswir	NN taswir
tasyakuran	VB tasyakuran
tasyaum	NN tasyaum
tasyrih	NN tasyrih
tasyrik	DT tasyrik
tataan	NN tataan
tatakan	NN tatakan
tatak	NN tatak
tatap muka	VB tatap muka
tatap	VB tatap
tataran	NN tataran
tatar fonologis	NN tatar fonologis
tatar gramatikal	NN tatar gramatikal
tatar	VB tatar
tatih	VB tatih
taubat	VB taubat
tauco	NN tauco
taufah	JJ taufah
taufik	NN taufik
tauge	NN tauge
tauhid	NN tauhid
tauladan	NN tauladan
taung	VB taung
tauran	NN tauran
Taurus	NN Taurus
tau	VB tau
tawaduk	JJ tawaduk
tawadu	VB tawadu
tawaf perpisahan	VB tawaf perpisahan
tawaf qudum	VB tawaf qudum
tawaf	VB tawaf
tawaf wada	VB tawaf wada
tawa	NN tawa
tawan	VB tawan
tawar-menawar	VB tawar-menawar
tawur	NN tawur
tayangan	NN tayangan
tayang bincang	VB tayang bincang
tayang	VB tayang
tayibah	JJ tayibah
tayib	JJ tayib
tazkirah	NN tazkirah
teater absurd	NN teater absurd
teater epik	NN teater epik
teater keliling	NN teater keliling
teater mini kata	NN teater mini kata
teater	NN teater
teater terbuka	NN teater terbuka
tebak	VB tebak
tebanan	NN tebanan
tebangan	NN tebangan
tebang habis	VB tebang habis
tebang rawat	VB tebang rawat
tebang	VB tebang
tebaran	NN tebaran
tebar layar	NN tebar layar
tebar	VB tebar
tebasan	NN tebasan
tebas	VB tebas
tebeng	NN tebeng
tebersit	VB tebersit
tebing	NN tebing
tebus	VB tebus
tebu-tebu	NN tebu-tebu
tedak	VB tedak
tedas	JJ tedas
tedeng	NN tedeng
tegakan	NN tegakan
tegakan plus	NN tegakan plus
tegak-tegak	JJ tegak-tegak
tegang	JJ tegang
tegerbang-gerbang	VB tegerbang-gerbang
tegur ajar	NN tegur ajar
tegur	NN tegur
tegur sapa	NN tegur sapa
teh-tehan	NN teh-tehan
tekan	VB tekan
tekar takeh	NN tekar takeh
teka teki	NN teka teki
teka	VB teka
tekek	DT tekek
tekel	VB tekel
tekenan	NN tekenan
teken kontrak	VB teken kontrak
teken mati	VB teken mati
teken serdadu	VB teken serdadu
teken	VB teken
tekerjakan	VB tekerjakan
tekerlap	VB tekerlap
teki bodoh	NN teki bodoh
tekik	VB tekik
teki	NN teki
teki rawa	NN teki rawa
teki sabrang	NN teki sabrang
teki sela	NN teki sela
tekis	RB tekis
teknik alpin	NN teknik alpin
teknik kateterisasi	NN teknik kateterisasi
teknik kimia listrik	NN teknik kimia listrik
teknik listrik energi	NN teknik listrik energi
teknik	NN teknik
teknik nontes	NN teknik nontes
teknik penelitian	NN teknik penelitian
teknik proyeksi	NN teknik proyeksi
teknik tes	NN teknik tes
teknisi	NN teknisi
teknis	JJ teknis
teknokrat	NN teknokrat
teknologi medis	NN teknologi medis
teknologi	NN teknologi
teknologi pendidikan	NN teknologi pendidikan
teknologi tinggi	NN teknologi tinggi
tekoan	DT tekoan
tekong	NN tekong
tekor	JJ tekor
tekpi	NN tekpi
tekstil	NN tekstil
tekstur	NN tekstur
tektum	NN tektum
tekur	VB tekur
telaah	NN telaah
teladan	NN teladan
telaga	NN telaga
telaga tahi	NN telaga tahi
telampung	NN telampung
telangkup	VB telangkup
telanjang bulat	VB telanjang bulat
telanjang loncos	VB telanjang loncos
telanjang	VB telanjang
telanjuk	VB telanjuk
telanjur	VB telanjur
telan	VB telan
telapakan ban	NN telapakan ban
telapakan kaki	NN telapakan kaki
telapakan	NN telapakan
telapak	NN telapak
telaten	JJ telaten
teledor	JJ teledor
tele-	DT tele-
telefon	NN telefon
telekomunikasi	NN telekomunikasi
telekung	NN telekung
telentang	RB telentang
telentung	VB telentung
telepon engkol	NN telepon engkol
telepon genggam	NN telepon genggam
telepon koin	NN telepon koin
telepon mobil	NN telepon mobil
telepon nirkabel	NN telepon nirkabel
telepon	NN telepon
telepon radio	NN telepon radio
telepon seluler	NN telepon seluler
telepon tidur	NN telepon tidur
telerang	DT telerang
teles	JJ teles
tele	VB tele
telgram	DT telgram
telinga badak	NN telinga badak
telinga bedil	NN telinga bedil
telinga berok	NN telinga berok
telinga biola	NN telinga biola
telinga gajah	NN telinga gajah
telinga jebang	NN telinga jebang
telinga kambing	NN telinga kambing
telinga kelelawar	NN telinga kelelawar
telinga kera	NN telinga kera
telinga kerbau	NN telinga kerbau
telinga kuali	NN telinga kuali
telinga kucing	NN telinga kucing
telinga	NN telinga
telinga rusa	NN telinga rusa
telinga telepuk layu	NN telinga telepuk layu
telinga tempayan	NN telinga tempayan
telinga tikus	NN telinga tikus
teliti	JJ teliti
tel	NN tel
telor	DT telor
telpon	DT telpon
telungkup	VB telungkup
telusur	VB telusur
temaha	JJ temaha
temak	NN temak
temali	DT temali
temanten	NN temanten
temaram	JJ temaram
temayun	DT temayun
tembaga alami	NN tembaga alami
tembaga kuning	NN tembaga kuning
tembaga merah	NN tembaga merah
tembaga	NN tembaga
tembaga perunggu	NN tembaga perunggu
tembaga putih	NN tembaga putih
tembaga suasa	NN tembaga suasa
tembakau deli	NN tembakau deli
tembakau hidung	NN tembakau hidung
tembakau hutan	NN tembakau hutan
tembakau kepala	NN tembakau kepala
tembakau kerosok	NN tembakau kerosok
tembakau lempengan	NN tembakau lempengan
tembakau lempeng	NN tembakau lempeng
tembakau mole	NN tembakau mole
tembakau	NN tembakau
tembakau sek	NN tembakau sek
tembakau singgung	NN tembakau singgung
tembakau sisik	NN tembakau sisik
tembakau tampang	NN tembakau tampang
tembakau tengkuk	NN tembakau tengkuk
tembak-menembak	VB tembak-menembak
tembak	VB tembak
tembang cilik	NN tembang cilik
tembang gede	NN tembang gede
tembang kawi	NN tembang kawi
tembang macapat	NN tembang macapat
tembang	NN tembang
tembang tengahan	NN tembang tengahan
tembekar	DT tembekar
tembelang	JJ tembelang
tembel	DT tembel
tembem	JJ tembem
temberang keliling	NN temberang keliling
temberang	NN temberang
temberek	NN temberek
tembereng	NN tembereng
temberos	NN temberos
tembesu bukit	NN tembesu bukit
tembesu hutan	NN tembesu hutan
tembesu kapur	NN tembesu kapur
tembesu	NN tembesu
tembesu padang	NN tembesu padang
tembesu paya	NN tembesu paya
tembesu tembaga	NN tembesu tembaga
tembiang	NN tembiang
tembikai	NN tembikai
tembilar	NN tembilar
tembok kering	NN tembok kering
tembok	NN tembok
tembolok	NN tembolok
tembu	DT tembu
tembuk	JJ tembuk
tembung	NN tembung
tembuni	NN tembuni
tembusan	NN tembusan
tembusan surat	NN tembusan surat
tembus cahaya	VB tembus cahaya
tembus pandang	VB tembus pandang
tembus	VB tembus
temeh	JJ temeh
temenggung	DT temenggung
temenggung melata	DT temenggung melata
temetu	JJ temetu
tem	NN tem
tempaan	NN tempaan
tempang	DT tempang
tempan	NN tempan
tempatan hati	NN tempatan hati
tempatan	NN tempatan
tempat bertanya	NN tempat bertanya
tempat hati	NN tempat hati
tempat makanan otomatis	NN tempat makanan otomatis
tempat minum kuda	NN tempat minum kuda
tempat	NN tempat
tempat parkir	NN tempat parkir
tempat semenda	NN tempat semenda
tempat sirih	NN tempat sirih
tempat tinggal	NN tempat tinggal
tempat tujuan	NN tempat tujuan
tempat tukang ladam	NN tempat tukang ladam
tempa	VB tempa
tempawan	NN tempawan
tempelengan	NN tempelengan
tempeleng	NN tempeleng
tempel	VB tempel
temperamen	NN temperamen
temperamental	JJ temperamental
temperatur	NN temperatur
tempikan	NN tempikan
templek	DT templek
tempoh	VB tempoh
tempolong	NN tempolong
tempuh	VB tempuh
tempuran	NN tempuran
tempur	VB tempur
tempus	NN tempus
tempuyung	NN tempuyung
temuan	NN temuan
temu duga	NN temu duga
temu gelang	VB temu gelang
temu giring	NN temu giring
temu hitam	NN temu hitam
temu ireng	NN temu ireng
temu karya	VB temu karya
temu kunci	NN temu kunci
temu kuning (kunyit)	NN temu kuning (kunyit)
temu lawak	NN temu lawak
temu lawas	NN temu lawas
temu lutut	VB temu lutut
temu mangga	NN temu mangga
temu muka	VB temu muka
temu niaga	VB temu niaga
temu putih	NN temu putih
temu putri	NN temu putri
temu ramah	VB temu ramah
temu usaha	VB temu usaha
temu	VB temu
temu wicara	VB temu wicara
tenaga dalam	NN tenaga dalam
tenaga elektromotif	NN tenaga elektromotif
tenaga gerak	NN tenaga gerak
tenaga honorer	NN tenaga honorer
tenaga kependidikan	NN tenaga kependidikan
tenaga kuda	NN tenaga kuda
tenaga ledak otot	NN tenaga ledak otot
tenaga listrik	NN tenaga listrik
tenaga masyarakat	NN tenaga masyarakat
tenaga matahari	NN tenaga matahari
tenaga medis	NN tenaga medis
tenaga mesin	NN tenaga mesin
tenaga	NN tenaga
tenaga pendidik	NN tenaga pendidik
tenaga pengajar	NN tenaga pengajar
tenaga profesional	NN tenaga profesional
tenaga teknik	NN tenaga teknik
tenaga teknis	NN tenaga teknis
tenaga temporer	NN tenaga temporer
tenaga terampil	NN tenaga terampil
tenaga tetap	NN tenaga tetap
tenahak	JJ tenahak
tenang	JJ tenang
tendangan bebas	NN tendangan bebas
tendangan gawang	NN tendangan gawang
tendangan kanon	NN tendangan kanon
tendangan	NN tendangan
tendaNgan	NN tendaNgan
tendangan penalti	NN tendangan penalti
tendangan penjuru	NN tendangan penjuru
tendangan pisang	NN tendangan pisang
tendang	VB tendang
tendas	NN tendas
tendensius	JJ tendensius
tender	NN tender
tendinitis	NN tendinitis
tener	DT tener
tengahan	NN tengahan
tengah empat	NN tengah empat
tengah hari	NN tengah hari
tengah malam	NN tengah malam
tengah naik	NN tengah naik
tengah	NN tengah
tengah tahunan	NN tengah tahunan
tengah tapak bayang-bayang	NN tengah tapak bayang-bayang
tengah tiga ribu rupiah	NN tengah tiga ribu rupiah
tengak	JJ tengak
tengara	NN tengara
teng	DT teng
tenggak	VB tenggak
tenggala	NN tenggala
tenggalung	NN tenggalung
tenggang-menenggang	VB tenggang-menenggang
tenggan	NN tenggan
tenggat	NN tenggat
tenggeran ayam	NN tenggeran ayam
tenggeran burung	NN tenggeran burung
tenggeran	NN tenggeran
tengger	VB tengger
tenggorokan	NN tenggorokan
tenggorok	NN tenggorok
tengguli	NN tengguli
tengik	JJ tengik
tengkalak	NN tengkalak
tengkarap	JJ tengkarap
tengkar	DT tengkar
tengkel	NN tengkel
tengker	DT tengker
tengkingan	NN tengkingan
tengkuk	NN tengkuk
tengkuluk	NN tengkuluk
tengku	NN tengku
tengkurap	VB tengkurap
tengok-menengok	VB tengok-menengok
tengok	VB tengok
tengu	NN tengu
te	NN te
tentangan	DT tentangan
tentang	DT tentang
tentara	NN tentara
tenteng	VB tenteng
tentram	JJ tentram
tenuk	NN tenuk
tenung	NN tenung
teologi	NN teologi
teolog	NN teolog
teori atom	NN teori atom
teori domino	NN teori domino
teori gelombang	NN teori gelombang
teori heliosentris	NN teori heliosentris
teori kasus	NN teori kasus
teori kebebasan	NN teori kebebasan
teori kekuasaan	NN teori kekuasaan
teori lokalistis	NN teori lokalistis
teori migrasi	NN teori migrasi
teori monogenesis	NN teori monogenesis
teori	NN teori
teori onomatope	NN teori onomatope
teori organisasi	NN teori organisasi
teori organisme	NN teori organisme
teori poligenesis	NN teori poligenesis
teori resepsi	NN teori resepsi
tepa	NN tepa
tepa salira	JJ tepa salira
tepatan jiwa	NN tepatan jiwa
tepatan Maja	NN tepatan Maja
tepatan	NN tepatan
tepatan pandang	NN tepatan pandang
teperbuat	VB teperbuat
tepercaya	JJ tepercaya
tepercik peluh	VB tepercik peluh
tepercik	VB tepercik
teperdaya	VB teperdaya
tepergok	VB tepergok
teperlus	VB teperlus
tepersil	VB tepersil
tepis	VB tepis
tepuk dada	NN tepuk dada
tepuk kuduk	NN tepuk kuduk
tepuk	NN tepuk
tepuk setan	NN tepuk setan
tepuk sorak	NN tepuk sorak
tepuk tangan	NN tepuk tangan
tepuk tari	NN tepuk tari
tepung aren	NN tepung aren
tepung darah	NN tepung darah
tepung gaplek	NN tepung gaplek
tepung hasil ikan	NN tepung hasil ikan
tepung ikan	NN tepung ikan
tepung limfa	NN tepung limfa
tepung	NN tepung
tepung peternakan	NN tepung peternakan
tepung sagu	NN tepung sagu
tepung sari	NN tepung sari
tepung telur	NN tepung telur
tepung tulang	NN tepung tulang
teraan	NN teraan
terabak	VB terabak
teraba-raba	VB teraba-raba
terabar	VB terabar
teraba	VB teraba
teracak	NN teracak
teradat	VB teradat
teradil	JJ teradil
teragak	VB teragak
teragung	VB teragung
teraju	NN teraju
terajun	VB terajun
terak	NN terak
terakota	NN terakota
terakumulasi	VB terakumulasi
teralahkan	VB teralahkan
terala	JJ terala
teralang-alang	VB teralang-alang
teralang	VB teralang
teralienasi	VB teralienasi
terali	NN terali
teralis	DT teralis
teralpa	JJ teralpa
teralun	VB teralun
teramai	JJ teramai
teramat	RB teramat
terambang-ambang	VB terambang-ambang
terambang	VB terambang
terambil	VB terambil
terampai	VB terampai
terampil	JJ terampil
terandalkan	VB terandalkan
terandal	VB terandal
terang akal	JJ terang akal
terang benderang	JJ terang benderang
terang bulan	JJ terang bulan
terang cuaca	JJ terang cuaca
terangguk-angguk	VB terangguk-angguk
terang hati	JJ terang hati
terang	JJ terang
terang kain	JJ terang kain
terangkat kening	VB terangkat kening
terangkat	VB terangkat
terang pikiran	JJ terang pikiran
terangsang	VB terangsang
terang tanah	JJ terang tanah
terang temarang	JJ terang temarang
terang-terangan	VB terang-terangan
terang-terang	JJ terang-terang
terang terbang lalat	JJ terang terbang lalat
terang terus	JJ terang terus
teraniaya	VB teraniaya
terantai	VB terantai
terantar	VB terantar
teran	VB teran
teranyar	JJ teranyar
terapi bahasa	NN terapi bahasa
terapi bermain	NN terapi bermain
terapi gizi	NN terapi gizi
terapi kimiawi	NN terapi kimiawi
terapi musik	NN terapi musik
terapi	NN terapi
terap	NN terap
terapung-apung	VB terapung-apung
terapung	VB terapung
terasak	VB terasak
terasi	NN terasi
teratak	NN teratak
teratap	JJ teratap
teratu	NN teratu
terawang	NN terawang
terawasi	VB terawasi
teraweh	DT teraweh
terayap-rayap	VB terayap-rayap
terbadai	VB terbadai
terbagus	JJ terbagus
terbahana	VB terbahana
terbaik	JJ terbaik
terbambang	VB terbambang
terbangai	JJ terbangai
terbang arwah	VB terbang arwah
terbang darahnya	VB terbang darahnya
terbangkang	JJ terbangkang
terbangkit	VB terbangkit
terbang layang	VB terbang layang
terbang menerkam	VB terbang menerkam
terbang pikiran	VB terbang pikiran
terbang-terbang	VB terbang-terbang
terbang	VB terbang
terbantahkan	VB terbantahkan
terbantun	VB terbantun
terbantut	VB terbantut
terbanyak	JJ terbanyak
terbaring	VB terbaring
terbaru	JJ terbaru
terbawah	JJ terbawah
terbayang-bayang	VB terbayang-bayang
terbayang	VB terbayang
terbebang	JJ terbebang
terbebar	VB terbebar
terbeda-bedakan	JJ terbeda-bedakan
terbelakang	JJ terbelakang
terbenar	JJ terbenar
terbendung	VB terbendung
terbengkalai	VB terbengkalai
terbengong-bengong	VB terbengong-bengong
terbentang	VB terbentang
terbentuk	VB terbentuk
terbentur	VB terbentur
terbentus	VB terbentus
terberak	JJ terberak
terberanikan	VB terberanikan
terberkas	VB terberkas
terbesar	JJ terbesar
terbilang	VB terbilang
terbirit	VB terbirit
terbis	VB terbis
terbit	VB terbit
terbuku	NN terbuku
terbulang	VB terbulang
terbuncang	VB terbuncang
terbungkuk-bungkuk	VB terbungkuk-bungkuk
terbuni	VB terbuni
terbusung	VB terbusung
tercampak	VB tercampak
tercampur	VB tercampur
tercancang	VB tercancang
tercanggung	VB tercanggung
tercangkel	VB tercangkel
tercantik	JJ tercantik
tercantol	VB tercantol
tercantum	VB tercantum
tercapak	VB tercapak
tercaplok	VB tercaplok
tercedera	VB tercedera
tercemas	JJ tercemas
tercema	VB tercema
tercengang-cengang	VB tercengang-cengang
tercengung	VB tercengung
tercerabut	VB tercerabut
tercermin	VB tercermin
terciprat	VB terciprat
tercirit	VB tercirit
tercocok hidung	VB tercocok hidung
tercocok mata	VB tercocok mata
tercocok	VB tercocok
tercondong	JJ tercondong
tercoreng	VB tercoreng
terdadek	VB terdadek
terdaftar	VB terdaftar
terdaging	VB terdaging
terdahulu	JJ terdahulu
terdamaikan	VB terdamaikan
terdampar	VB terdampar
terdangka-dangka	VB terdangka-dangka
terdayuh hati	JJ terdayuh hati
terdayuh	JJ terdayuh
terdekat	JJ terdekat
terdengar	VB terdengar
terdepan	JJ terdepan
terderita	VB terderita
terdeteksi	VB terdeteksi
terdiri	VB terdiri
terdistribusi	VB terdistribusi
terdodong	VB terdodong
terdongkrak	VB terdongkrak
terdorong	VB terdorong
terebut	VB terebut
